,intent,snip
82,Capturing emoticons using regular expression in python,"re.findall('(?::|;|=)(?:-)?(?:\\)|\\(|D|P)', s)"
83,Capturing emoticons using regular expression in python,"re.match('[:;][)(](?![)(])', str)"
84,List of objects to JSON with Python,json_string = json.dumps([ob.__dict__ for ob in list_name])
85,List of zeros in python,listofzeros = [0] * n
86,python: how to convert a string to utf-8,"stringnamehere.decode('utf-8', 'ignore')"
87,Python regex - Ignore parenthesis as indexing?,"re.findall('((?:A|B|C)D)', 'BDE')"
88,Python dict how to create key or append an element to key?,"dic.setdefault(key, []).append(value)"
89,Finding the minimum value in a numpy array and the corresponding values for the rest of that array's row,"a[np.argmin(a[:, (1)])]"
90,"Python ""extend"" for a dictionary",a.update(b)
91,Removing key values pairs from a list of dictionaries,"[{k: v for k, v in d.items() if k != 'mykey1'} for d in mylist]"
92,Removing key values pairs from a list of dictionaries,"[dict((k, v) for k, v in d.items() if k != 'mykey1') for d in mylist]"
93,Simple way to create matrix of random numbers,"numpy.random.random((3, 3))"
94,Make new column in Panda dataframe by adding values from other columns,df['C'] = df['A'] + df['B']
95,Find dictionary items whose key matches a substring,"[value for key, value in list(programs.items()) if 'new york' in key.lower()]"
96,"Import module in another directory from a ""parallel"" sub-directory",sys.path.append('/path/to/main_folder')
97,Regex for getting all digits in a string after a character,"re.findall('\\d+(?=[^[]+$)', s)"
98,Python pickle/unpickle a list to/from a file,"pickle.load(open('afile', 'rb'))"
99,Clicking a link using selenium using python,driver.find_element_by_xpath('xpath').click()
100,Counting unique index values in Pandas groupby,ex.groupby(level='A').agg(lambda x: x.index.get_level_values(1).nunique())
101,Dict of dicts of dicts to DataFrame,"pd.concat(map(pd.DataFrame, iter(d.values())), keys=list(d.keys())).stack().unstack(0)"
102,In Python,"sum(1 for i, j in zip(a, b) if i != j)"
103,When the key is a tuple in dictionary in Python,"d = {(a.lower(), b): v for (a, b), v in list(d.items())}"
104,Sorting a list of tuples with multiple conditions,"list_.sort(key=lambda x: [x[0], len(x[1]), x[1]])"
105,trim whitespace,s.strip()
106,trim whitespace (including tabs),s = s.lstrip()
107,trim whitespace (including tabs),s = s.rstrip()
108,trim whitespace (including tabs),s = s.strip(' \t\n\r')
109,trim whitespace (including tabs),"print(re.sub('[\\s+]', '', s))"
110,In Django,"Task.objects.exclude(prerequisites__status__in=['A', 'P', 'F'])"
111,Background color for Tk in Python,root.configure(background='black')
112,python dict to numpy structured array,"numpy.array([(key, val) for key, val in result.items()], dtype)"
113,Pandas - Sorting By Column,"pd.concat([df_1, df_2.sort_values('y')])"
114,rreplace - How to replace the last occurence of an expression in a string?,"re.sub('(.*)</div>', '\\1</bad>', s)"
115,How do I compare values in a dictionary?,"print(max(d, key=lambda x: (d[x]['salary'], d[x]['bonus'])))"
116,How to do many-to-many Django query to find book with 2 given authors?,Book.objects.filter(author__id=1).filter(author__id=2)
117,Python regex split case insensitive in 2.6,"re.compile('XYZ', re.IGNORECASE).split('fooxyzbar')"
118,List comprehension - converting strings in one list,"[sum(map(int, s)) for s in example.split()]"
119,How to find duplicate elements in array using for loop in Python?,[i for i in y if y[i] == 1]
120,Converting byte string in unicode string,c.decode('unicode_escape')
121,"How can I ""unpivot"" specific columns from a pandas DataFrame?","pd.melt(x, id_vars=['farm', 'fruit'], var_name='year', value_name='value')"
122,add new item to dictionary,default_data['item3'] = 3
123,add new item to dictionary,"default_data.update({'item3': 3, })"
124,add new item to dictionary,"default_data.update({'item4': 4, 'item5': 5, })"
125,Index the first and the last n elements of a list,l[:3] + l[-3:]
126,How to reset index in a pandas data frame?,df = df.reset_index(drop=True)
127,Merging a list with a list of lists,[a[x].append(b[x]) for x in range(3)]
128,how to find the target file's full(absolute path) of the symbolic link or soft link in python,os.path.realpath(path)
129,How to check if a dictionary is in another dictionary in python,set(L[0].f.items()).issubset(set(a3.f.items()))
130,How to find the index of a value in 2d array in Python?,zip(*np.where(a == 1))
131,How to find the index of a value in 2d array in Python?,np.where(a == 1)
132,Python Pandas - How to flatten a hierarchical index in columns,df.columns = df.columns.get_level_values(0)
133,Creating a list from a Scipy matrix,"x = scipy.matrix([1, 2, 3]).transpose()"
134,Regex Python adding characters after a certain word,"text = re.sub('(\\bget\\b)', '\\1@', text)"
135,Element-wise minimum of multiple vectors in numpy,"np.array([np.arange(3), np.arange(2, -1, -1), np.ones((3,))]).min(axis=0)"
136,Pandas (python): How to add column to dataframe for index?,"df['new_col'] = list(range(1, len(df) + 1))"
137,How to set environment variables in Python,os.environ['DEBUSSY'] = '1'
138,How to set environment variables in Python,print(os.environ['DEBUSSY'])
139,How to set environment variables in Python,os.environ['DEBUSSY'] = '1'
140,Python: updating a large dictionary using another large dictionary,b.update(d)
141,How to get column by number in Pandas?,df['b']
142,How can I get the color of the last figure in matplotlib?,"ebar = plt.errorbar(x, y, yerr=err, ecolor='y')"
143,Python: How can I find all files with a particular extension?,results += [each for each in os.listdir(folder) if each.endswith('.c')]
144,Concatenating Unicode with string: print '£' + '1' works,print('\xc2\xa3'.decode('utf8') + '1')
145,How to convert the following string in python?,"re.sub('(?<=[a-z])([A-Z])', '-\\1', s).lower()"
146,Setting stacksize in a python script,os.system('ulimit -s unlimited; some_executable')
147,Python Decimals format,"""""""{0:.3g}"""""".format(num)"
148,Add single element to array in numpy,"numpy.append(a, a[0])"
149,Return the column name(s) for a specific value in a pandas dataframe,"df.ix[:, (df.loc[0] == 38.15)].columns"
150,Merge 2 dataframes with same values in a column,df2['revenue'] = df2.CET.map(df1.set_index('date')['revenue'])
151,How To Format a JSON Text In Python?,json_data = json.loads(json_string)
152,Python: converting radians to degrees,math.cos(math.radians(1))
153,count how many of an object type there are in a list Python,"sum(isinstance(x, int) for x in a)"
154,Python: Getting rid of \u200b from a string using regular expressions,"'used\u200b'.replace('\u200b', '*')"
155,How to run two functions simultaneously,threading.Thread(target=SudsMove).start()
156,sum of squares in a list in one line?,sum(i * i for i in l)
157,sum of squares in a list in one line?,"sum(map(lambda x: x * x, l))"
158,Create a dictionary with list comprehension,"d = dict(((key, value) for (key, value) in iterable))"
159,Create a dictionary with list comprehension,"d = {key: value for (key, value) in iterable}"
160,Create a dictionary with list comprehension,"d = {k: v for (k, v) in iterable}"
161,Rounding entries in a Pandas DafaFrame,"df.round({'Alabama_exp': 2, 'Credit_exp': 3})"
162,Pycurl keeps printing in terminal,"p.setopt(pycurl.WRITEFUNCTION, lambda x: None)"
163,Return a random word from a word list in python,print(random.choice(words))
164,Find Max in Nested Dictionary,"max(d, key=lambda x: d[x]['count'])"
165,How to replace empty string with zero in comma-separated string?,"[(int(x) if x else 0) for x in data.split(',')]"
166,How to replace empty string with zero in comma-separated string?,""""""","""""".join(x or '0' for x in s.split(','))"
167,"Regular expression syntax for ""match nothing""?",re.compile('$^')
168,"Regular expression syntax for ""match nothing""?",re.compile('.\\A|.\\A*|.\\A+')
169,"Regular expression syntax for ""match nothing""?",re.compile('a^')
170,Python Pandas drop columns based on max value of column,df.columns[df.max() > 0]
171,How can I check if a date is the same day as datetime.today()?,yourdatetime.date() == datetime.today().date()
172,How do I print bold text in Python?,print('\x1b[1m' + 'Hello')
173,Renaming multiple files in python,"re.sub('.{20}(.mkv)', '\\1', 'unique12345678901234567890.mkv')"
174,Can I get a list of the variables that reference an other in Python 2.7?,"['a', 'c', 'b', 'obj']"
175,Substitute multiple whitespace with single whitespace in Python,""""""" """""".join(mystring.split())"
176,How to print floating point numbers as it is without any truncation in python?,print('{:.100f}'.format(2.345e-67))
177,Check if a given key already exists in a dictionary,('key1' in dict)
178,Check if a given key already exists in a dictionary,('a' in d)
179,Check if a given key already exists in a dictionary,('c' in d)
180,Check if a given key already exists in a dictionary,if ('key1' in dict):\n    pass
181,Check if a given key already exists in a dictionary,if (key in d):\n    pass
182,django filter with list of values,"Blog.objects.filter(pk__in=[1, 4, 7])"
183,read a binary file (python),"f = open('test/test.pdf', 'rb')"
184,Format string - spaces between every three digit,"format(12345678.46, ',').replace(',', ' ').replace('.', ',')"
185,Joining pandas dataframes by column names,"pd.merge(frame_1, frame_2, left_on='county_ID', right_on='countyid')"
186,How to calculate percentage of sparsity for a numpy array/matrix?,np.isnan(a).sum() / np.prod(a.shape)
187,Sorting a defaultdict by value in python,"sorted(iter(cityPopulation.items()), key=lambda k_v: k_v[1][2], reverse=True)"
188,Sorting a defaultdict by value in python,"sorted(list(u.items()), key=lambda v: v[1])"
189,Sorting a defaultdict by value in python,"sorted(list(d.items()), key=lambda k_v: k_v[1], reverse=True)"
190,Sorting a defaultdict by value in python,"sorted(list(d.items()), key=lambda k_v: k_v[1])"
191,How to reliably open a file in the same directory as a Python script,"f = open(os.path.join(__location__, 'bundled-resource.jpg'))"
192,How do I convert LF to CRLF?,"f = open('words.txt', 'rU')"
193,Divide the values of two dictionaries in python,{k: (float(d2[k]) / d1[k]) for k in d2}
194,Divide the values of two dictionaries in python,{k: (d2[k] / d1[k]) for k in list(d1.keys()) & d2}
195,Divide the values of two dictionaries in python,"dict((k, float(d2[k]) / d1[k]) for k in d2)"
196,How to specify date format when using pandas.to_csv?,"df.to_csv(filename, date_format='%Y%m%d')"
197,How to remove a key from a python dictionary?,"my_dict.pop('key', None)"
198,replace values in an array,"b = np.where(np.isnan(a), 0, a)"
199,Python,"subprocess.call('start command -flags arguments', shell=True)"
200,Python,"subprocess.call('command -flags arguments &', shell=True)"
201,Passing the '+' character in a POST request in Python,"f = urllib.request.urlopen(url, urllib.parse.unquote(urllib.parse.urlencode(params)))"
202,How do I remove whitespace from the end of a string in Python?,"""""""    xyz     """""".rstrip()"
203,URL encoding in python,urllib.parse.quote(s.encode('utf-8'))
204,URL encoding in python,urllib.parse.quote_plus('a b')
205,Convert string to numpy array,"np.array(map(int, '100110'))"
206,Convert string to numpy array,"print(np.array(list(mystr), dtype=int))"
207,How can I convert an RGB image into grayscale in Python?,"img = cv2.imread('messi5.jpg', 0)"
208,sorting a graph by its edge weight. python,"lst.sort(key=lambda x: x[2], reverse=True)"
209,How to find all occurrences of an element in a list?,"indices = [i for i, x in enumerate(my_list) if x == 'whatever']"
210,How can I execute shell command with a | pipe in it,"subprocess.call('grep -r PASSED *.log | sort -u | wc -l', shell=True)"
211,How to count the number of a specific character at the end of a string ignoring duplicates?,len(my_text) - len(my_text.rstrip('?'))
212,converting currency with $ to numbers in Python pandas,"df[df.columns[1:]].replace('[\\$,]', '', regex=True).astype(float)"
213,Conditionally fill a column of a pandas df with values of a different df,"df1.merge(df2, how='left', on='word')"
214,Switch every pair of characters in a string,"print(''.join(''.join(i) for i in zip(a2, a1)) + a[-1] if len(a) % 2 else '')"
215,How to make a window jump to the front?,"root.attributes('-topmost', True)"
216,How to make a window jump to the front?,root.lift()
217,Elegant way to convert list to hex string,"hex(int(''.join([str(int(b)) for b in walls]), 2))"
218,Elegant way to convert list to hex string,"hex(sum(b << i for i, b in enumerate(reversed(walls))))"
219,Print multiple arguments in python,"print(('Total score for', name, 'is', score))"
220,Print multiple arguments in python,"print('Total score for {} is {}'.format(name, score))"
221,Print multiple arguments in python,"print('Total score for %s is %s  ' % (name, score))"
222,Print multiple arguments in python,"print(('Total score for', name, 'is', score))"
223,Is it possible to serve a static html page at the root of a django project?,"url('^$', TemplateView.as_view(template_name='your_template.html'))"
224,use a list of values to select rows from a pandas dataframe,"df[df['A'].isin([3, 6])]"
225,How to get the concrete class name as a string?,instance.__class__.__name__
226,How can I execute Python code in a virtualenv from Matlab,system('/path/to/my/venv/bin/python myscript.py')
227,django models selecting single field,"Employees.objects.values_list('eng_name', flat=True)"
228,Python regex findall alternation behavior,"re.findall('\\d|\\d,\\d\\)', '6,7)')"
229,How do I make python to wait for a pressed key,input('Press Enter to continue...')
230,Print string as hex literal python,"""""""ABC"""""".encode('hex')"
231,python + pymongo: how to insert a new field on an existing document in mongo from a for loop,"db.Doc.update({'_id': b['_id']}, {'$set': {'geolocCountry': myGeolocCountry}})"
232,Regex to match 'lol' to 'lolllll' and 'omg' to 'omggg',"re.sub('l+', 'l', 'lollll')"
233,Getting the nth element using BeautifulSoup,rows = soup.findAll('tr')[4::5]
234,Reverse Y-Axis in PyPlot,plt.gca().invert_xaxis()
235,Reverse Y-Axis in PyPlot,plt.gca().invert_yaxis()
236,How do I stack two DataFrames next to each other in Pandas?,"pd.concat([GOOG, AAPL], keys=['GOOG', 'AAPL'], axis=1)"
237,Creating a JSON response using Django and Python,"return HttpResponse(json.dumps(response_data), content_type='application/json')"
238,Process escape sequences in a string,myString.decode('string_escape')
239,How do I calculate the md5 checksum of a file in Python?,"hashlib.md5(open('filename.exe', 'rb').read()).hexdigest()"
240,Finding key from value in Python dictionary:,"[k for k, v in d.items() if v == desired_value]"
241,Extract all keys from a list of dictionaries,{k for d in LoD for k in list(d.keys())}
242,Extract all keys from a list of dictionaries,set([i for s in [list(d.keys()) for d in LoD] for i in s])
243,Extract all keys from a list of dictionaries,[i for s in [list(d.keys()) for d in LoD] for i in s]
244,Is there a more elegant way for unpacking keys and values of a dictionary into two lists,"keys, values = zip(*list(d.items()))"
245,Convert a string to integer with decimal in Python,int(Decimal(s))
246,Convert a string to integer with decimal in Python,int(s.split('.')[0])
247,Numpy: How to check if array contains certain numbers?,"numpy.in1d(b, a).all()"
248,Numpy: How to check if array contains certain numbers?,numpy.array([(x in a) for x in b])
249,Node labels using networkx,"networkx.draw_networkx_labels(G, pos, labels)"
250,How to make a copy of a 2D array in Python?,y = [row[:] for row in x]
251,Pythonic way to populate numpy array,"X = numpy.loadtxt('somefile.csv', delimiter=',')"
252,Check if a Python list item contains a string inside another string,matching = [s for s in some_list if 'abc' in s]
253,How to write/read a Pandas DataFrame with MultiIndex from/to an ASCII file?,"df.to_csv('mydf.tsv', sep='\t')"
254,How do I create a LIST of unique random numbers?,"random.sample(list(range(100)), 10)"
255,Splitting on last delimiter in Python string?,"s.rsplit(',', 1)"
256,Python check if all elements of a list are the same type,"all(isinstance(x, int) for x in lst)"
257,Python check if all elements of a list are the same type,"all(isinstance(x, int) for x in lst)"
258,Python . How to get rid of '\r' in string?,line.strip()
259,How can I scroll a web page using selenium webdriver in python?,"driver.execute_script('window.scrollTo(0, Y)')"
260,How can I scroll a web page using selenium webdriver in python?,"driver.execute_script('window.scrollTo(0, document.body.scrollHeight);')"
261,How do I convert a datetime.date object into datetime.datetime in python?,"datetime.datetime.combine(dateobject, datetime.time())"
262,How to check if one of the following items is in a list?,print(any(x in a for x in b))
263,Saving a Numpy array as an image,"scipy.misc.imsave('outfile.jpg', image_array)"
264,Regex for removing data in parenthesis,"item = re.sub(' ?\\([^)]+\\)', '', item)"
265,Regex for removing data in parenthesis,"item = re.sub(' ?\\(\\w+\\)', '', item)"
266,Regex for removing data in parenthesis,"item = re.sub(' \\(\\w+\\)', '', item)"
267,Checking if any elements in one list are in another,len(set(list1).intersection(list2)) > 0
268,convert hex to decimal,"i = int(s, 16)"
269,convert hex to decimal,"int('0xff', 16)"
270,convert hex to decimal,"int('FFFF', 16)"
271,convert hex to decimal,ast.literal_eval('0xdeadbeef')
272,convert hex to decimal,"int('deadbeef', 16)"
273,Take screenshot in Python on Mac OS X,os.system('screencapture screen.png')
274,How to set window size using phantomjs and selenium webdriver in python,"driver.set_window_size(1400, 1000)"
275,Replace non-ascii chars from a unicode string in Python,"unicodedata.normalize('NFKD', 'm\xfasica').encode('ascii', 'ignore')"
276,Pandas/Python: How to concatenate two dataframes without duplicates?,"pandas.concat([df1, df2]).drop_duplicates().reset_index(drop=True)"
277,numpy: efficiently reading a large array,"a = numpy.fromfile('filename', dtype=numpy.float32)"
278,How to use the mv command in Python with subprocess,"subprocess.call('mv /home/somedir/subdir/* somedir/', shell=True)"
279,How to use the mv command in Python with subprocess,"subprocess.call('mv /home/somedir/subdir/* somedir/', shell=True)"
280,How to use Unicode characters in a python string,print('\u25b2'.encode('utf-8'))
281,Comparing two .txt files using difflib in Python,"difflib.SequenceMatcher(None, file1.read(), file2.read())"
282,Creating a dictionary from a string,"dict((k, int(v)) for k, v in (e.split(' - ') for e in s.split(',')))"
283,How to check if all elements in a tuple or list are in another?,"all(i in (1, 2, 3, 4, 5) for i in (1, 6))"
284,python pandas extract unique dates from time series,df['Date'].map(lambda t: t.date()).unique()
285,Formatting text to be justified in Python 3.3 with .format() method,"""""""{:>7s}"""""".format(mystring)"
286,How do I read an Excel file into Python using xlrd? Can it read newer Office formats?,"open('ComponentReport-DJI.xls', 'rb').read(200)"
287,How to sort a dataFrame in python pandas by two or more columns?,"df.sort_values(['b', 'c'], ascending=[True, False], inplace=True)"
288,How to sort a dataFrame in python pandas by two or more columns?,"df.sort_values(['a', 'b'], ascending=[True, False])"
289,How to sort a dataFrame in python pandas by two or more columns?,"df1.sort(['a', 'b'], ascending=[True, False], inplace=True)"
290,How to sort a dataFrame in python pandas by two or more columns?,"df.sort(['a', 'b'], ascending=[True, False])"
291,Django redirect to root from a view,redirect('Home.views.index')
292,Remove all values within one list from another list in python,"[x for x in a if x not in [2, 3, 7]]"
293,How to remove all the punctuation in a string? (Python),"out = ''.join(c for c in asking if c not in ('!', '.', ':'))"
294,Python: BeautifulSoup - get an attribute value based on the name attribute,"soup.find('meta', {'name': 'City'})['content']"
295,How to unquote a urlencoded unicode string in python?,urllib.parse.unquote('%0a')
296,How to unquote a urlencoded unicode string in python?,urllib.parse.unquote(url).decode('utf8')
297,empty a list,del lst[:]
298,empty a list,del lst1[:]
299,empty a list,lst[:] = []
300,empty a list,alist[:] = []
301,Pandas reset index on series to remove multiindex,s.reset_index(0).reset_index(drop=True)
302,How to convert unicode text to normal text,elems[0].getText().encode('utf-8')
303,Subtracting the current and previous item in a list,"[(y - x) for x, y in zip(L, L[1:])]"
304,Cleanest way to get a value from a list element,"print(re.search('\\bLOG_ADDR\\s+(\\S+)', line).group(1))"
305,Importing everything ( * ) dynamically from a module,globals().update(importlib.import_module('some.package').__dict__)
306,Convert a list of characters into a string,""""""""""""".join(['a', 'b', 'c', 'd'])"
307,Slicing URL with Python,url.split('&')
308,sort a dictionary by key,od = collections.OrderedDict(sorted(d.items()))
309,sort a dictionary by key,"OrderedDict(sorted(list(d.items()), key=(lambda t: t[0])))"
310,PUT Request to REST API using Python,"response = requests.put(url, data=json.dumps(data), headers=headers)"
311,Python remove anything that is not a letter or number,"re.sub('[\\W_]+', '', s)"
312,Python Nested List Comprehension with two Lists,[(x + y) for x in l2 for y in l1]
313,convert string to dict using list comprehension in python,dict([x.split('=') for x in s.split()])
314,Remove object from a list of objects in python,my_list.pop(2)
315,How to delete a character from a string using python?,"s = s.replace('M', '')"
316,How to delete a character from a string using python?,"newstr = oldstr.replace('M', '')"
317,How can I sum the product of two list items using for loop in python?,"sum(x * y for x, y in zip(a, b))"
318,How can I sum the product of two list items using for loop in python?,"list(x * y for x, y in list(zip(a, b)))"
319,How can I sum the product of two list items using for loop in python?,"sum(i * j for i, j in zip(a, b))"
320,How can I sum the product of two list items using for loop in python?,"sum(x * y for x, y in list(zip(a, b)))"
321,Can I read and write file in one line with Python?,"f.write(open('xxx.mp4', 'rb').read())"
322,How to add an integer to each element in a list?,new_list = [(x + 1) for x in my_list]
323,Return list of items in list greater than some value,[x for x in j if x >= 5]
324,matplotlib: Set markers for individual points on a line,"plt.plot(list(range(10)), '--bo')"
325,matplotlib: Set markers for individual points on a line,"plt.plot(list(range(10)), linestyle='--', marker='o', color='b')"
326,split elements of a list in python,"[i.split('\t', 1)[0] for i in l]"
327,split elements of a list in python,myList = [i.split('\t')[0] for i in myList]
328,Summing elements in a list,sum(your_list)
329,How to attach debugger to a python subproccess?,ForkedPdb().set_trace()
330,Python: comprehension to compose two dictionaries,"result = {k: d2.get(v) for k, v in list(d1.items())}"
331,datetime.datetime.now() + 1,"datetime.datetime.now() + datetime.timedelta(days=1, hours=3)"
332,Convert binary string to list of integers using Python,"[int(s[i:i + 3], 2) for i in range(0, len(s), 3)]"
333,switching keys and values in a dictionary in python,"dict((v, k) for k, v in my_dict.items())"
334,Specific sort a list of numbers separated by dots,"print(sorted(L, key=lambda x: int(x.split('.')[2])))"
335,How to find a value in a list of python dictionaries?,any(d['name'] == 'Test' for d in label)
336,How can I remove all instances of an element from a list in Python?,"a[:] = [x for x in a if x != [1, 1]]"
337,How can I remove all instances of an element from a list in Python?,"[x for x in a if x != [1, 1]]"
338,Convert a list to a dictionary in Python,"b = {a[i]: a[i + 1] for i in range(0, len(a), 2)}"
339,How to check whether elements appears in the list only once in python?,len(set(a)) == len(a)
340,Generating an MD5 checksum of a file,"print(hashlib.md5(open(full_path, 'rb').read()).hexdigest())"
341,How to sort a dictionary in python by value when the value is a list and I want to sort it by the first index of that list,"sorted(list(data.items()), key=lambda x: x[1][0])"
342,Pythons fastest way of randomising case of a string,""""""""""""".join(x.upper() if random.randint(0, 1) else x for x in s)"
343,How to force os.system() to use bash instead of shell,"os.system('GREPDB=""echo 123""; /bin/bash -c ""$GREPDB""')"
